title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_material,field_material_short_description,field_finish,field_spring_type,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_thickness_build_spec_in,field_thickness_in,field_thickness_mm,field_thickness_cm,field_thickness_tol_build_spe_in,field_thickness_tolerance_in,field_thickness_tolerance_mm,field_thickness_tolerance_cm,field_cal_load_flat_bld_spc_in,field_calculated_load_at_flat_lb,field_calculated_load_at_flat_n,field_calculated_load_at_flat_kg,field_calculated_load_at_flat_gm,field_free_height_build_spec_in,field_free_height_in,field_free_height_mm,field_free_height_cm,field_free_height_tol_bld_in,field_free_height_tolerance_in,field_free_height_tolerance_mm,field_free_height_tolerance_cm,field_bolt_size_imperial,field_bolt_size_metric,field_weight_per_item_lb
156-011-312,156-011-312,156011312,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.312,0.312,7.92,0.792,Maximum,Maximum,Maximum,Maximum,0.156,0.156,3.96,0.396,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.156,0.156,3.96,0.396,Minimum,Minimum,Minimum,Minimum,0.011,0.011,0.28,0.028,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,27.1,27.1,120.5,12.3,12292.6,0.022,0.022,0.56,0.056,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,5/32,M3.5,0.000188
156-013-312,156-013-312,156013312,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.312,0.312,7.92,0.792,Maximum,Maximum,Maximum,Maximum,0.156,0.156,3.96,0.396,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.156,0.156,3.96,0.396,Minimum,Minimum,Minimum,Minimum,0.013,0.013,0.33,0.033,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,32.478,32.5,144.5,14.7,14732,0.021,0.021,0.53,0.053,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,5/32,M3.5,0.000222
156-015-312,156-015-312,156015312,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.312,0.312,7.92,0.792,Maximum,Maximum,Maximum,Maximum,0.156,0.156,3.96,0.396,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.156,0.156,3.96,0.396,Minimum,Minimum,Minimum,Minimum,0.015,0.015,0.38,0.038,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,49.893,49.9,221.9,22.6,22631.5,0.023,0.023,0.58,0.058,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,5/32,M3.5,0.000256
156-017-312,156-017-312,156017312,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.312,0.312,7.92,0.792,Maximum,Maximum,Maximum,Maximum,0.156,0.156,3.96,0.396,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.156,0.156,3.96,0.396,Minimum,Minimum,Minimum,Minimum,0.017,0.017,0.43,0.043,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,71.003,71,315.8,32.2,32207,0.025,0.025,0.64,0.064,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,5/32,M3.5,0.00029
165-013-343,165-013-343,165013343,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.343,0.343,8.71,0.871,Maximum,Maximum,Maximum,Maximum,0.164,0.164,4.17,0.417,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.165,0.165,4.19,0.419,Minimum,Minimum,Minimum,Minimum,0.013,0.013,0.33,0.033,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,36.2,36.2,161,16.4,16420.3,0.024,0.024,0.61,0.061,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#8,M4,0.000275
165-016-343,165-016-343,165016343,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.343,0.343,8.71,0.871,Maximum,Maximum,Maximum,Maximum,0.164,0.164,4.17,0.417,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.165,0.165,4.19,0.419,Minimum,Minimum,Minimum,Minimum,0.016,0.016,0.41,0.041,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,61.4,61.4,273.1,27.9,27851,0.026,0.026,0.66,0.066,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#8,M4,0.000339
165-016-394,165-016-394,165016394,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Maximum,Maximum,Maximum,Maximum,0.164,0.164,4.17,0.417,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.165,0.165,4.19,0.419,Minimum,Minimum,Minimum,Minimum,0.016,0.016,0.41,0.041,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,52.9,52.9,235.3,24,23995.4,0.028,0.028,0.71,0.071,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#8,M4,0.000479
165-016-472,165-016-472,165016472,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,11.99,1.199,Maximum,Maximum,Maximum,Maximum,0.164,0.164,4.17,0.417,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.165,0.165,4.19,0.419,Minimum,Minimum,Minimum,Minimum,0.016,0.016,0.41,0.041,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,44.5,44.5,197.9,20.2,20185.2,0.031,0.031,0.79,0.079,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#8,M4,0.000732
165-018-343,165-018-343,165018343,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.343,0.343,8.71,0.871,Maximum,Maximum,Maximum,Maximum,0.164,0.164,4.17,0.417,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.165,0.165,4.19,0.419,Minimum,Minimum,Minimum,Minimum,0.018,0.018,0.46,0.046,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,87.4,87.4,388.8,39.6,39644.6,0.028,0.028,0.71,0.071,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#8,M4,0.000381
165-020-394,165-020-394,165020394,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Maximum,Maximum,Maximum,Maximum,0.164,0.164,4.17,0.417,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.165,0.165,4.19,0.419,Minimum,Minimum,Minimum,Minimum,0.02,0.02,0.51,0.051,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,86.1,86.1,383,39.1,39055,0.03,0.03,0.76,0.076,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#8,M4,0.000599
165-020-472,165-020-472,165020472,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,11.99,1.199,Maximum,Maximum,Maximum,Maximum,0.164,0.164,4.17,0.417,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.165,0.165,4.19,0.419,Minimum,Minimum,Minimum,Minimum,0.02,0.02,0.51,0.051,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,75.2,75.2,334.5,34.1,34110.7,0.033,0.033,0.84,0.084,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#8,M4,0.000915
165-024-472,165-024-472,165024472,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,11.99,1.199,Maximum,Maximum,Maximum,Maximum,0.164,0.164,4.17,0.417,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.165,0.165,4.19,0.419,Minimum,Minimum,Minimum,Minimum,0.024,0.024,0.61,0.061,+/-0.0015,+/-0.0015,+/-0.038,+/-0.0038,150,150,667.2,68,68040,0.039,0.039,0.99,0.099,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#8,M4,0.001098
1755-133-3000,1755-133-3000,17551333000,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,3,3,76.2,7.62,Maximum,Maximum,Maximum,Maximum,1.75,1.75,44.45,4.445,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1.755,1.755,44.58,4.458,Minimum,Minimum,Minimum,Minimum,0.133,0.133,3.38,0.338,+/-0.004,+/-0.004,+/-0.102,+/-0.0102,4751.6,4751.6,21136.2,2155.3,2155325.8,0.223,0.223,5.66,0.566,+/-0.015,+/-0.015,+/-0.381,+/-0.0381,1 3/4,M42,0.18428
187-012-375,187-012-375,187012375,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.375,0.375,9.53,0.953,Maximum,Maximum,Maximum,Maximum,0.187,0.187,4.75,0.475,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.187,0.187,4.75,0.475,Minimum,Minimum,Minimum,Minimum,0.012,0.012,0.3,0.03,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,26.485,26.5,117.8,12,12013.6,0.024,0.024,0.61,0.061,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,3/16,M4.5,0.000297
187-015-375,187-015-375,187015375,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.375,0.375,9.53,0.953,Maximum,Maximum,Maximum,Maximum,0.187,0.187,4.75,0.475,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.187,0.187,4.75,0.475,Minimum,Minimum,Minimum,Minimum,0.015,0.015,0.38,0.038,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,43.107,43.1,191.7,19.6,19553.3,0.025,0.025,0.64,0.064,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,3/16,M4.5,0.000371
187-017-375,187-017-375,187017375,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.375,0.375,9.53,0.953,Maximum,Maximum,Maximum,Maximum,0.187,0.187,4.75,0.475,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.187,0.187,4.75,0.475,Minimum,Minimum,Minimum,Minimum,0.017,0.017,0.43,0.043,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,56.476,56.5,251.2,25.6,25617.5,0.026,0.026,0.66,0.066,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,3/16,M4.5,0.00042
187-020-375,187-020-375,187020375,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.375,0.375,9.53,0.953,Maximum,Maximum,Maximum,Maximum,0.187,0.187,4.75,0.475,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.187,0.187,4.75,0.475,Minimum,Minimum,Minimum,Minimum,0.02,0.02,0.51,0.051,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,91.962,92,409.1,41.7,41714,0.029,0.029,0.74,0.074,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,3/16,M4.5,0.000495
187-020-562,187-020-562,187020562,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.562,0.562,14.27,1.427,Maximum,Maximum,Maximum,Maximum,0.187,0.187,4.75,0.475,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.187,0.187,4.75,0.475,Minimum,Minimum,Minimum,Minimum,0.02,0.02,0.51,0.051,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,69.043,69,307.1,31.3,31317.9,0.037,0.037,0.94,0.094,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,3/16,M4.5,0.001315
187-022-375,187-022-375,187022375,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.375,0.375,9.53,0.953,Maximum,Maximum,Maximum,Maximum,0.187,0.187,4.75,0.475,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.187,0.187,4.75,0.475,Minimum,Minimum,Minimum,Minimum,0.022,0.022,0.56,0.056,+/-0.0015,+/-0.0015,+/-0.038,+/-0.0038,108.801,108.8,484,49.4,49352.1,0.03,0.03,0.76,0.076,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,3/16,M4.5,0.000544
187-025-375,187-025-375,187025375,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.375,0.375,9.53,0.953,Maximum,Maximum,Maximum,Maximum,0.187,0.187,4.75,0.475,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.187,0.187,4.75,0.475,Minimum,Minimum,Minimum,Minimum,0.025,0.025,0.64,0.064,+/-0.0015,+/-0.0015,+/-0.038,+/-0.0038,119.742,119.7,532.6,54.3,54315,0.031,0.031,0.79,0.079,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,3/16,M4.5,0.000618
187-028-375,187-028-375,187028375,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.375,0.375,9.53,0.953,Maximum,Maximum,Maximum,Maximum,0.187,0.187,4.75,0.475,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.187,0.187,4.75,0.475,Minimum,Minimum,Minimum,Minimum,0.028,0.028,0.71,0.071,+/-0.0015,+/-0.0015,+/-0.038,+/-0.0038,140.191,140.2,623.6,63.6,63590.6,0.033,0.033,0.84,0.084,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,3/16,M4.5,0.000692
187-028-562,187-028-562,187028562,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.562,0.562,14.27,1.427,Maximum,Maximum,Maximum,Maximum,0.187,0.187,4.75,0.475,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.187,0.187,4.75,0.475,Minimum,Minimum,Minimum,Minimum,0.028,0.028,0.71,0.071,+/-0.0015,+/-0.0015,+/-0.038,+/-0.0038,156.021,156,694,70.8,70771.1,0.042,0.042,1.07,0.107,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,3/16,M4.5,0.001841
187-030-375,187-030-375,187030375,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.375,0.375,9.53,0.953,Maximum,Maximum,Maximum,Maximum,0.187,0.187,4.75,0.475,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.187,0.187,4.75,0.475,Minimum,Minimum,Minimum,Minimum,0.03,0.03,0.76,0.076,+/-0.0015,+/-0.0015,+/-0.038,+/-0.0038,206.914,206.9,920.4,93.9,93856.2,0.036,0.036,0.91,0.091,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,3/16,M4.5,0.000742
205-010-394,205-010-394,205010394,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Maximum,Maximum,Maximum,Maximum,0.19,0.19,4.83,0.483,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.205,0.205,5.21,0.521,Minimum,Minimum,Minimum,Minimum,0.01,0.01,0.25,0.025,+/-0.0006,+/-0.0006,+/-0.015,+/-0.0015,14.2,14.2,63.2,6.4,6441.1,0.022,0.022,0.56,0.056,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#10,M4.5,0.000265
205-016-394,205-016-394,205016394,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Maximum,Maximum,Maximum,Maximum,0.19,0.19,4.83,0.483,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.205,0.205,5.21,0.521,Minimum,Minimum,Minimum,Minimum,0.016,0.016,0.41,0.041,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,58.3,58.3,259.3,26.4,26444.9,0.028,0.028,0.71,0.071,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#10,M4.5,0.000424
205-020-394,205-020-394,205020394,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.394,0.394,10.01,1.001,Maximum,Maximum,Maximum,Maximum,0.19,0.19,4.83,0.483,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.205,0.205,5.21,0.521,Minimum,Minimum,Minimum,Minimum,0.02,0.02,0.51,0.051,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,94.9,94.9,422.1,43,43046.6,0.03,0.03,0.76,0.076,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#10,M4.5,0.00053
205-020-472,205-020-472,205020472,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,11.99,1.199,Maximum,Maximum,Maximum,Maximum,0.19,0.19,4.83,0.483,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.205,0.205,5.21,0.521,Minimum,Minimum,Minimum,Minimum,0.02,0.02,0.51,0.051,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,91.1,91.1,405.2,41.3,41323,0.035,0.035,0.89,0.089,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#10,M4.5,0.000846
205-024-472,205-024-472,205024472,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,11.99,1.199,Maximum,Maximum,Maximum,Maximum,0.19,0.19,4.83,0.483,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.205,0.205,5.21,0.521,Minimum,Minimum,Minimum,Minimum,0.024,0.024,0.61,0.061,+/-0.0015,+/-0.0015,+/-0.038,+/-0.0038,136.4,136.4,606.7,61.9,61871,0.037,0.037,0.94,0.094,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#10,M4.5,0.001015
205-024-591,205-024-591,205024591,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.591,0.591,15.01,1.501,Maximum,Maximum,Maximum,Maximum,0.19,0.19,4.83,0.483,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.205,0.205,5.21,0.521,Minimum,Minimum,Minimum,Minimum,0.024,0.024,0.61,0.061,+/-0.0015,+/-0.0015,+/-0.038,+/-0.0038,108.3,108.3,481.7,49.1,49124.9,0.041,0.041,1.04,0.104,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#10,M4.5,0.001726
2063-125-3375,2063-125-3375,20631253375,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,3.375,3.375,85.73,8.573,Maximum,Maximum,Maximum,Maximum,2,2,50.8,5.08,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,2.063,2.063,52.4,5.24,Minimum,Minimum,Minimum,Minimum,0.125,0.125,3.18,0.318,+/-0.004,+/-0.004,+/-0.102,+/-0.0102,2826.3,2826.3,12572,1282,1282009.7,0.203,0.203,5.16,0.516,+/-0.015,+/-0.015,+/-0.381,+/-0.0381,2,M50,0.208732
218-016-437,218-016-437,218016437,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.437,0.437,11.1,1.11,Maximum,Maximum,Maximum,Maximum,0.216,0.216,5.49,0.549,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.218,0.218,5.54,0.554,Minimum,Minimum,Minimum,Minimum,0.016,0.016,0.41,0.041,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,57.8,57.8,257.1,26.2,26218.1,0.031,0.031,0.79,0.079,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#12,M5,0.000537
218-020-437,218-020-437,218020437,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.437,0.437,11.1,1.11,Maximum,Maximum,Maximum,Maximum,0.216,0.216,5.49,0.549,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.218,0.218,5.54,0.554,Minimum,Minimum,Minimum,Minimum,0.02,0.02,0.51,0.051,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,90.31,90.3,401.7,41,40964.6,0.032,0.032,0.81,0.081,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#12,M5,0.000671
218-023-437,218-023-437,218023437,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.437,0.437,11.1,1.11,Maximum,Maximum,Maximum,Maximum,0.216,0.216,5.49,0.549,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.218,0.218,5.54,0.554,Minimum,Minimum,Minimum,Minimum,0.023,0.023,0.58,0.058,+/-0.0015,+/-0.0015,+/-0.038,+/-0.0038,125.905,125.9,560.1,57.1,57110.5,0.034,0.034,0.86,0.086,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#12,M5,0.000772
218-035-687,218-035-687,218035687,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.687,0.687,17.45,1.745,Maximum,Maximum,Maximum,Maximum,0.216,0.216,5.49,0.549,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.218,0.218,5.54,0.554,Minimum,Minimum,Minimum,Minimum,0.035,0.035,0.89,0.089,+/-0.0015,+/-0.0015,+/-0.038,+/-0.0038,217.734,217.7,968.5,98.8,98764.1,0.05,0.05,1.27,0.127,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,#12,M5,0.003477
250-015-500,250-015-500,250015500,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.5,0.5,12.7,1.27,Maximum,Maximum,Maximum,Maximum,0.25,0.25,6.35,0.635,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.25,0.25,6.35,0.635,Minimum,Minimum,Minimum,Minimum,0.015,0.015,0.38,0.038,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,31.569,31.6,140.4,14.3,14319.7,0.028,0.028,0.71,0.071,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,1/4,M6,0.000658
250-017-500,250-017-500,250017500,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.5,0.5,12.7,1.27,Maximum,Maximum,Maximum,Maximum,0.25,0.25,6.35,0.635,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.25,0.25,6.35,0.635,Minimum,Minimum,Minimum,Minimum,0.017,0.017,0.43,0.043,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,42.42,42.4,188.7,19.2,19241.7,0.029,0.029,0.74,0.074,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,1/4,M6,0.000746
250-018-500,250-018-500,250018500,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.5,0.5,12.7,1.27,Maximum,Maximum,Maximum,Maximum,0.25,0.25,6.35,0.635,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.25,0.25,6.35,0.635,Minimum,Minimum,Minimum,Minimum,0.018,0.018,0.46,0.046,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,50.355,50.4,224,22.8,22841,0.03,0.03,0.76,0.076,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,1/4,M6,0.00079
250-020-500,250-020-500,250020500,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.5,0.5,12.7,1.27,Maximum,Maximum,Maximum,Maximum,0.25,0.25,6.35,0.635,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.25,0.25,6.35,0.635,Minimum,Minimum,Minimum,Minimum,0.02,0.02,0.51,0.051,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,69.074,69.1,307.3,31.3,31332,0.032,0.032,0.81,0.081,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,1/4,M6,0.000878
250-020-591,250-020-591,250020591,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.591,0.591,15.01,1.501,Maximum,Maximum,Maximum,Maximum,0.25,0.25,6.35,0.635,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.25,0.25,6.35,0.635,Minimum,Minimum,Minimum,Minimum,0.02,0.02,0.51,0.051,+/-0.001,+/-0.001,+/-0.025,+/-0.0025,73,73,324.7,33.1,33112.8,0.039,0.039,0.99,0.099,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,1/4,M6,0.001342
250-023-500,250-023-500,250023500,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.5,0.5,12.7,1.27,Maximum,Maximum,Maximum,Maximum,0.25,0.25,6.35,0.635,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.25,0.25,6.35,0.635,Minimum,Minimum,Minimum,Minimum,0.023,0.023,0.58,0.058,+/-0.0015,+/-0.0015,+/-0.038,+/-0.0038,113.807,113.8,506.2,51.6,51622.9,0.036,0.036,0.91,0.091,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,1/4,M6,0.001009
250-024-472,250-024-472,250024472,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.472,0.472,11.99,1.199,Maximum,Maximum,Maximum,Maximum,0.25,0.25,6.35,0.635,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.25,0.25,6.35,0.635,Minimum,Minimum,Minimum,Minimum,0.024,0.024,0.61,0.061,+/-0.0015,+/-0.0015,+/-0.038,+/-0.0038,150.4,150.4,669,68.2,68221.4,0.037,0.037,0.94,0.094,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,1/4,M6,0.0009
